t	Quarter	SRC	TotalRequired	TotalFilled	Overlapping	Deployed	DemandName	Vignette	DemandGroup	ACFilled	RCFilled	NGFilled	GhostFilled	OtherFilled	ACOverlap	RCOverlap	NGOverlap	GhostOverlap	OtherOverlap	deltaT
1	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
1	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
1	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
1	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
2	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
2	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
2	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
2	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
3	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
3	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
3	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
3	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
4	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
4	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
4	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
4	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
5	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
5	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
5	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
5	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
6	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
6	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
6	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
6	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
7	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
7	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
7	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
7	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
8	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
8	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
8	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
8	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
9	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
9	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
9	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
9	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
10	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
